Prompt,Tags
"Serene close-up beauty shots of a model with freckles and braids wearing a peach ruffled one piece swimsuit, photographed in the style of Mario Testino's tropical backdrops.",fashion;swimwear;editorial;beauty
"Stunning athletic model Winnie Harlow striking fierce poses in a sleek aqua bikini, dripping wet hair, on the white sand beach reminiscent of Bruce Weber's provocative style.",fashion;swimwear;editorial;beach
"Model Bella Hadid gazes intensely past the camera wearing a belted burnt orange monokini swimsuit, windswept hair blowing, posed dynamically like in Ellen von Unwerth's fashion images.",fashion;swimwear;editorial
"Captivating portrait of model Adut Akech in a flowing floral swimsuit coverup, eyes closed serenely, lit softly by the sunset over the water similar to Paola Kudacki's emotive style.",fashion;swimwear;editorial;portrait
"Gigi Hadid splashes playfully in the surf, wearing a colorful striped bikini, sun-kissed wet skin, evoking a natural joyful energy reminiscent of Glen Luchford's photography.",fashion;swimwear;editorial;beach
"Editorial fashion shots of model Liya Kebede posing atop a surfboard, wearing a sleek black cutout monokini swimsuit, ocean mist in the air, resembling Russell James' vision.",fashion;swimwear;editorial;beach
"Seductive beauty shots of model Jasmine Tookes wearing a glittering jewel encrusted purple bikini under the night sky, eyes closed, in the dramatic style of Jean-Baptiste Mondino.",fashion;swimwear;editorial;beauty
"Fierce sandy beach photoshoot with Joan Smalls strutting confidently in a red hot retro bikini and sheer coverup, sunset glow reminiscent of Peter Lindbergh's signature lighting.",fashion;swimwear;editorial;beach
"Ethereal island lifestyle photoshoot of Sofia Vergara lounging casually in a printed bandeau bikini, basking in the soft dawn light similar to Arthur Elgort's romantic style.",fashion;swimwear;editorial;lifestyle
"Emily Ratajkowski emerges from the crystalline waters in a white ruffled strapless one piece swimsuit resembling Helmut Newton's provocative glamour photography.",fashion;swimwear;editorial;beach
"lily pichu, An anime Nendoroid of lily pichu, figurine, detailed product photo",anime;product;figurine
"real life photo of a beautiful girl, full body photoshoot, long braided curly blonde hair, twisted braids, golden watery eyes, full round face, short smile, pale pink bikini, serene beach setting, cinematic lighting, medium shot, mid-shot, highly detailed, artstation contest winner, 105mm f2.4",fashion;swimwear;portrait;beach
"ultra detailed Female Android deity, scifi, octane render, clay render, (dia de los muertos), asymmetrical, intricate concept art, art by michael welan and DZO and greg rutkowski and alphonse mucha and loish and WLOP",sci-fi;fantasy;concept art
"cinematic bust portrait of psychedelic robot, head and chest only, exotic alien features, robotic enhancements, desaturated, Tim Hildebrandt, Wayne Barlowe, Bruce Pennington, donato giancola, larry elmore, oil on canvas, masterpiece, trending on artstation, featured on pixiv, cinematic composition, dramatic pose, beautiful lighting, sharp, details, hyper-detailed, HD, HDR, 4K, 8K",sci-fi;fantasy;portrait;concept art
"cyberpunk room, top view, with girl on  table,  laboratory experiment attached, hellraiser, liquid in tube, technological , technomancer , alien experiment, future dark by Greg Rutkowski, Sung Choi, Mitchell Mohrhauser, Maciej Kuciara, Johnson Ting, Maxim Verehin, Peter Konig, Bloodborne , 8k photorealistic, cinematic lighting, HD, high details, atmospheric , trending on artstation",sci-fi;cyberpunk;concept art
"movie poster, 8k octane render, symmetrical face, full warior body in ancient style cinematic, neon, (vaporwave:1.2), purple and pink colour scheme",movie;poster;fantasy
"miku surfer advertising photo, female surfer body, beach,  symmetrical face, symmetrical eyes, perfect face, beautiful face",fashion;advertising;beach
"Girl surfer advertising photo, female surfer body, beach, sunset wave, symmetrical face, symmetrical eyes, perfect face, perfect body, beautiful face",fashion;advertising;beach
"vogue fashion editorial, girl in a circus, wearing red and white striped leather jacket, bare chest, photograph by mario testino, eyes, face, mouth, hasselblad",fashion;editorial
"The fogs wraps the dying city of London in a thin whispy blanket as she was drifting through the alleys, past the ancient pubs and warehouses, searching for the memories of the dreams that never were.",urban;atmospheric;conceptual
"dungeons and dragons portrait of a female half-orc with green skin and white hair, wearing a brown jacket, forest background, symmetrical face",fantasy;portrait;dungeons and dragons
"Mitsuri Kanjoro",anime;character
"Hyperrealist portrait of arthur morgan by jeremy mann and alphonse mucha, fantasy art, photo realistic, dynamic lighting, artstation, poster, volumetric lighting, very detailed faces, award winning",fantasy;portrait;hyperrealistic
"(full body), a model beautiful women with long  blond hair, beautiful detailed dress, delicate, detailed, centered, digital painting, artstation, concept art, donato giancola, joseph christian leyendecker, wlop, boris vallejo, breathtaking, 8k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render",fantasy;portrait;concept art
"pixar style portrait shot, pin-up anime belle delphine robot in a junkyard, artwork by granblue fantasy, artgerm, attack on titan, high quality, amazing background by ghibli, wide gorgeous eyes, smooth cell shading",anime;pixar;portrait;sci-fi
"tiny cute kitten plush stuffed toy, anthropomorphic, surrounded by vines, pixar style eyes, pokemon anime style, octane render, fantasy, volumetric light, soft cinematic lighting, tinycore, cutecore, realistic, 8k",fantasy;cute;pixar;anime
"tiny cute grape plush stuffed toy, anthropomorphic, surrounded by vines, pixar style eyes, pokemon anime style, octane render, fantasy, volumetric light, soft cinematic lighting, tinycore, cutecore, purplecore, realistic, 8k",fantasy;cute;pixar;anime
"pixar style cute, adorable, fuzzy corgi puppy wearing a college bandana, beautiful, volumetric lighting, octane render",cute;pixar;animal
"Art by alfredo rodriguez, Cowboy on a horse running through water, dynamic, movement, beautiful oil painting, fine art, award-winning art, beautiful lighting, intricate detail",western;fine art;action
"beautiful stunning highly detailed modern woman, art noveau, surrounded with magnolia flowers, flourish, art painted by Magali Villeneuve and artgerm and Fenghua Zhong, open eyes, hyperrealistic, fantasy, illustration",fantasy;portrait;art nouveau
